,src,rel,tgt,time,text
0,India,Consult,Pakistan,2015-12-27,"New Delhi: Of what significance would a meeting of Indian and Pakistani prime ministers be that did not discuss Kashmir, Hurriyat or cricket?"
1,India,Engage in negotiation,Pakistan,2015-12-27,"Sindhi newspapers also prominently reported that Pakistan and India decided to start foreign secretaries talks in January 2016 , Indian Prime Minister Narendra Modi visited Pakistan for few hours and held meeting with Pakistani Prime Minister Nawaz Sharif, congratulated PM Sharif on his birthday, both leaders announced to continue peace process and take it further; Asif Ali Zardari on his message on 8th death anniversary of [former Prime Minister] Benazir Bhutto said that federal government attacked Sindh in the garb of law and order situation, he said his party would not allow trampling of constitution; the Sindh government announced to send murder case of Khalid Mehmud Soomro, general secretary of the Jamiat Ulema-e-Islam-Fazlur Rahman group (JUI-F) Sindh chapter, to military court after the JUI-F held massive protest-demonstrations and sit-ins in Larkana and Sukkur; the 8th death anniversary of Benazir Bhutto would be observed on 27 December, PPP workers started coming to Garhi Khuda Bakhsh; Sindh Information Adviser Moula Bakhsh Chandio said that his party was not in favor of the Rangers' withdrawal from Sindh, he said the Sindh government had reservations over federal government's attitude toward Sindh; meeting of the PPP central executive committee called at Nau Dero House on 27 December; a security checkpoint was attacked by terrorists in Kurram Agency, two terrorists were killed in retaliation by the security forces; Sindh Chief Minister [Syed Qaim Ali Shah] said that terrorists wanted to snatch education from their future generations, suggested people to sell their arms and purchase books; PM Sharif is scheduled to visit Sindh on 28 December, reservations of the Sindh government would be allayed; as many as six terrorists of banned groups were arrested in Shikarpur, over 100 kg of explosives were also seized."
2,India,Engage in negotiation,Pakistan,2015-12-29,"All that was needed was for India and Pakistan to hold irreversible talks at any desperate level, and if nothing came out of them, to continue talking."
3,India,Consult,Pakistan,2015-12-30,"After months of disruptions, New Delhi will host a meeting of the transport secretaries of India and Pakistan."
4,Pakistan,Consult,India,2015-12-30,"After months of disruptions, New Delhi will host a meeting of the transport secretaries of India and Pakistan."
5,Pakistan,Consult,India,2015-12-31,"After months of disruptions, New Delhi will host a meeting of the transport secretaries of India and Pakistan."
6,India,Consult,Pakistan,2015-12-31,"After months of disruptions, New Delhi will host a meeting of the transport secretaries of India and Pakistan."
7,India,Engage in diplomatic cooperation,Pakistan,2015-12-31,"The Adviser appreciated the services of Dr. T.C.A. Raghavan for improving the relations between Pakistan and India during his tenure as the High Commissioner of India in Pakistan, and expressed his hope that the incoming High Commissioner of India to Pakistan would also continue the practice."
8,India,Consult,Pakistan,2016-01-01,PUBDATE (The News) - There is a sense of déjà vu whenever top leaders of Pakistan and India meet either formally or just 'by chance'.
9,Pakistan,Share intelligence or information,India,2016-01-01,"Text of report by Indian news agency PTI New Delhi, 1 Jan: India and Pakistan on Friday [1 January] exchanged for the 25th consecutive year a list of their nuclear installations under a bilateral agreement that bars them from attacking each other's atomic facilities."
10,Pakistan,Share intelligence or information,India,2016-01-01,NEW DELHI - 1 - 1 (KUNA) -- India and Pakistan exchanged Friday private lists nuclear installations in both countries under the bilateral agreement which binds both parties to refrain from attacking each other's nuclear installations.
11,India,Share intelligence or information,Pakistan,2016-01-01,"Indian foreign ministry said in a press statement that 'New Delhi and Islamabad have exchanged the list of nuclear installations and facilities on the covered by the Agreement on the Prohibition of the attack on the nuclear installations between India and Pakistan through diplomatic channels twenty-fifth time, respectively.'"
12,India,Share intelligence or information,Pakistan,2016-01-01,"Text of report by Indian news agency PTI New Delhi, 1 Jan: India and Pakistan on Friday [1 January] exchanged for the 25th consecutive year a list of their nuclear installations under a bilateral agreement that bars them from attacking each other's atomic facilities."
13,India,Share intelligence or information,Pakistan,2016-01-01,NEW DELHI - 1 - 1 (KUNA) -- India and Pakistan exchanged Friday private lists nuclear installations in both countries under the bilateral agreement which binds both parties to refrain from attacking each other's nuclear installations.
14,India,Share intelligence or information,Pakistan,2016-01-02,"New Delhi, 1 Jan: India and Pakistan on Friday [1 January] exchanged for the 25th consecutive year a list of their nuclear installations under a bilateral agreement that bars them from attacking each other's atomic facilities."
15,Pakistan,Share intelligence or information,India,2016-01-02,"India and Pakistan on Friday exchanged the customary January 1 lists of prisoners, but Pakistan alleged discrepancy from the Indian side."
16,India,Share intelligence or information,Pakistan,2016-01-02,"India and Pakistan on Friday exchanged the customary January 1 lists of prisoners, but Pakistan alleged discrepancy from the Indian side."
17,Pakistan,Share intelligence or information,India,2016-01-02,"New Delhi, 1 Jan: India and Pakistan on Friday [1 January] exchanged for the 25th consecutive year a list of their nuclear installations under a bilateral agreement that bars them from attacking each other's atomic facilities."
18,India,Consult,Pakistan,2016-01-02,There is a sense of déjà vu whenever top leaders of Pakistan and India meet either formally or just ‘by chance’.
19,India,Express intent to de-escalate military engagement,Pakistan,2016-01-02,"The Sena's jibe was directed at Union home minister Rajnath Singh, who, in response to Saturday morning's terror attack, said while India wanted peace with Pakistan, it would give it a befitting reply to the attempt by terrorists to storm the Indian Air Force (IAF) base in Pathankot."
20,India,Express intent to meet or negotiate,Pakistan,2016-01-03,The adviser said that foreign secretaries of Pakistan and India would meet on 15th of this month to draw up a road-map regarding comprehensive dialogue for the next six months.
21,Pakistan,Express intent to meet or negotiate,India,2016-01-03,"However, at the same time, the U.S would like India and Pakistan to continue their dialogue."
22,India,Express intent to meet or negotiate,Pakistan,2016-01-03,"However, at the same time, the U.S would like India and Pakistan to continue their dialogue."
23,India,Consult,Pakistan,2016-01-03,"In an interview to The Hindu , he said that combating terror should be one of the main areas of discussions when India and Pakistan talk to each other next."
24,Pakistan,Consult,India,2016-01-03,"In an interview to The Hindu , he said that combating terror should be one of the main areas of discussions when India and Pakistan talk to each other next."
25,India,Engage in diplomatic cooperation,Pakistan,2016-01-03,"“I’m convinced that dialogue is the only way forward for improving relations between Pakistan and India,” he told the Press Trust of India news agency on Sunday in the United Nations."
26,India,Engage in diplomatic cooperation,Pakistan,2016-01-03,”UN Secretary General Ban Ki-moon has rightly pointed out that dialogue is the only way forward for resolving differences and improving bilateral ties between Pakistan and India.
27,India,Engage in diplomatic cooperation,Pakistan,2016-01-03,Cooperation between India and Pakistan as major countries of South Asia entails lot of opportunities for regional prosperity and stability.
28,India,Reduce or break diplomatic relations,Pakistan,2016-01-04,"NEW DELHI, Jan. 4 (Xinhua) -- India is mulling cancelling or delaying the Foreign Secretary-level talks with Pakistan following an attack on its key airbase in the northern state of Punjab, sources said Monday."
29,India,Express intent to cooperate,Pakistan,2016-01-04,Pakistan and India had agreed to resume the peace talks under a new name: ‘Comprehensive Bilateral Talks’.
30,Pakistan,Express intent to cooperate,India,2016-01-04,Pakistan and India had agreed to resume the peace talks under a new name: ‘Comprehensive Bilateral Talks’.
31,India,Share intelligence or information,Pakistan,2016-01-04,The FO statement comes as sections of Indian media reported that New Delhi shared information with Islamabad on the Pathankot airbase attack.
32,India,Share intelligence or information,Pakistan,2016-01-05,The FO statement comes as sections of Indian media reported that New Delhi shared information with Islamabad on the Pathankot airbase attack.
33,India,Share intelligence or information,Pakistan,2016-01-05,"(Dawn News) - NEW DELHI: India said on Monday it would take a decision on the next round of talks with Pakistan after the operations at the Pathankot airbase are over, amid reports that Delhi had handed some 'actionable information' to Islamabad about the ongoing crisis."
34,India,Express intent to cooperate,Pakistan,2016-01-05,"The following is a roundup of excerpts from editorials and articles on terrorist attack on an Indian airbase in Pathankot days after the prime ministers of Pakistan and India agreed to resumed stalled peace talks to reduce tensions and resolve mutual disputes and when foreign secretaries of the two countries were scheduled to hold talks in third week of January, possible objectives of the elements behind the attack, and Indian compulsion and interest to continue talks contrary to its past behavior, published in 5 January 2016 editions of six Urdu dailies: Ausaf Article Emphasizes Evidences Speak Against Indian Claim About Attack Daily Ausaf published one article questioning measures taken around airbase before attack."
35,Cabinet / Council of Ministers / Advisors (India),Accuse,India,2015-12-27,"Participating in the CPI’s 90th foundation day celebrations in Karimnagar town on Sunday, he charged the government of not taking up any drought relief measures to provide some succour to the distressed farming community."
36,India,Accuse,Villager (India),2015-12-27,"KORAPUT: The Maoists allegedly killed two villagers, including a sarpanch, in Malkangiri district late on Friday accusing them of acting as police informers."
37,Maldives,Make an appeal or request,India,2015-12-27,"'Maldives, Nepal, Bangladesh and Bhutan have already requested India to provide specialized training to their personnel and help in raising a specialized force like the NDRF,' said Santosh Kumar, director of the National Institute of Disaster Management in the home ministry."
38,Bhutan,Make an appeal or request,India,2015-12-27,"'Maldives, Nepal, Bangladesh and Bhutan have already requested India to provide specialized training to their personnel and help in raising a specialized force like the NDRF,' said Santosh Kumar, director of the National Institute of Disaster Management in the home ministry."
39,Nepal,Make an appeal or request,India,2015-12-27,"'Maldives, Nepal, Bangladesh and Bhutan have already requested India to provide specialized training to their personnel and help in raising a specialized force like the NDRF,' said Santosh Kumar, director of the National Institute of Disaster Management in the home ministry."
40,Bangladesh,Make an appeal or request,India,2015-12-27,"'Maldives, Nepal, Bangladesh and Bhutan have already requested India to provide specialized training to their personnel and help in raising a specialized force like the NDRF,' said Santosh Kumar, director of the National Institute of Disaster Management in the home ministry."
41,India,Consult,Pakistan,2015-12-27,"New Delhi: Of what significance would a meeting of Indian and Pakistani prime ministers be that did not discuss Kashmir, Hurriyat or cricket?"
42,François Hollande,Make a visit,India,2015-12-27,"MOSCOW, December 27 (Sputnik) - India and France are likely to sign a deal for the sale of 36 Rafale fighter aircraft to New Delhi on January 25 during French President Francois Hollande's visit to India, media reported."
43,B. Ramanath Rai,Make a visit,India,2015-12-27,"When Mr. Rai arrived at Bantwal Taluk Panchayat polling station on B.C. Road at 9 a.m., the polling staff told him that as his name was not in the voters’ list and he should go to Kallige Gram Panchayat polling station to vote."
44,Shahbaz Sharif,Make a visit,India,2015-12-27,"Shahbaz's visit to Delhi has been on the cards for sometime now, informed sources said, adding this could contribute to thawing of ties."
45,Satya Nadella,Make a visit,India,2015-12-27,"Hyderabad,TELANGANA A guided tour of technology incubator T-Hub on Monday and interaction with aspiring entrepreneurs there is all that constitutes the public engagement of Microsoft CEO Satya Nadella during his private visit to Hyderabad."
46,Rajendra Mahato,Make a visit,India,2015-12-27,"After the clash, Mahato and other SLMM activists went to the bordering Indian town of Jogbani where Mahato received primary treatment."
47,Sushma Swaraj,Make a visit,India,2015-12-27,Sushma arrived in Guwahati on Saturday evening and met state BJP leaders.
48,Reserve Personnel (Bangladesh),Make a visit,India,2015-12-27,(THE DAILY STAR) - Members of Border Guard Bangladesh (BGB) detained 27 people from Sadipur border area under Benapole Police Station yesterday while they were going to India illegally.
49,Nawaz Sharif,Make a visit,India,2015-12-27,It is significant that India agreed to send its foreign secretary to Islamabad even though it was the turn of his counterpart to visit Delhi.
50,India,Host a visit,François Hollande,2015-12-27,"MOSCOW, December 27 (Sputnik) - India and France are likely to sign a deal for the sale of 36 Rafale fighter aircraft to New Delhi on January 25 during French President Francois Hollande's visit to India, media reported."
51,India,Host a visit,Satya Nadella,2015-12-27,"Hyderabad,TELANGANA A guided tour of technology incubator T-Hub on Monday and interaction with aspiring entrepreneurs there is all that constitutes the public engagement of Microsoft CEO Satya Nadella during his private visit to Hyderabad."
52,India,Host a visit,Nawaz Sharif,2015-12-27,It is significant that India agreed to send its foreign secretary to Islamabad even though it was the turn of his counterpart to visit Delhi.
53,India,Host a visit,Sushma Swaraj,2015-12-27,Sushma arrived in Guwahati on Saturday evening and met state BJP leaders.
54,India,Host a visit,Rajendra Mahato,2015-12-27,"After the clash, Mahato and other SLMM activists went to the bordering Indian town of Jogbani where Mahato received primary treatment."
55,India,Host a visit,Reserve Personnel (Bangladesh),2015-12-27,(THE DAILY STAR) - Members of Border Guard Bangladesh (BGB) detained 27 people from Sadipur border area under Benapole Police Station yesterday while they were going to India illegally.
56,India,Host a visit,Shahbaz Sharif,2015-12-27,"Shahbaz's visit to Delhi has been on the cards for sometime now, informed sources said, adding this could contribute to thawing of ties."
57,India,Host a visit,B. Ramanath Rai,2015-12-27,"When Mr. Rai arrived at Bantwal Taluk Panchayat polling station on B.C. Road at 9 a.m., the polling staff told him that as his name was not in the voters’ list and he should go to Kallige Gram Panchayat polling station to vote."
58,Military (India),Use conventional military force,India,2015-12-27,"Srinagar: Police and Army have launched a massive search operation in North Kashmir’s Bandipora district, where five LeT militants have allegedly been trapped."
59,Police (India),Use conventional military force,India,2015-12-27,"Srinagar: Police and Army have launched a massive search operation in North Kashmir’s Bandipora district, where five LeT militants have allegedly been trapped."
60,India,Use conventional military force,Citizen (United States),2015-12-27,"India is likely to tell the U.S. that the American investigation against Headley and the Lashkar-e-Taiba was done because of the six Americans killed in the Mumbai attacks, but justice is yet to be done to the families of the large number of Indian victims."
61,India,"Arrest, detain, or charge with legal action",Student (India),2015-12-27,"NAGPUR: Three Hyderabad-based final-year students, all cousins, were arrested at the Dr Babasaheb Ambedkar International Airport in Nagpur in a joint operation of the Maharashtra Anti-Terrorism Squad (ATS) and Counter Intelligence Cell (CIC) of Telangana police early on Saturday."
62,India,"Arrest, detain, or charge with legal action",Medical Personnel (India),2015-12-27,"BERHAMPUR,OTHER STATES The tribal witch doctor or ‘desari’, who had allegedly branded a four-week-old child with hot nail in the name of treatment, was arrested in Nabarangpur district of Odisha on Sunday."
63,India,"Arrest, detain, or charge with legal action",Criminal (India),2015-12-27,"Varanasi, Dec. 27 -- A police team from Nagpur arrested a criminal involved in an incident of loot in that city of Maharashtra from Rohaniya area of the temple town on Saturday."
